Duration,Start station number,Start station,End station number,End station,Bike Number,Member Type
578,31609,Maine Ave & 7th St SW,31208,M St & New Jersey Ave SE,W20833,Member
3507,31305,Connecticut Ave & Newark St NW / Cleveland Park,31245,7th & R St NW / Shaw Library,W01405,Member
2153,31203,14th & Rhode Island Ave NW,31602,Park Rd & Holmead Pl NW,W22493,Member
452,31919,Carlin Springs Rd & N Thomas St,31024,Virginia Square Metro / N Monroe St & 9th St N,W20398,Member
1823,31268,12th & U St NW,31262,11th & F St NW,W21144,Member
621,31509,New Jersey Ave & R St NW,31227,13th St & New York Ave NW,W20419,Member
450,31266,11th & M St NW,31128,23rd & M St NW,W20613,Member
510,31101,14th & V St NW,31128,23rd & M St NW,W23201,Member
249,31919,Carlin Springs Rd & N Thomas St,31038,Glebe Rd & 11th St N,W00963,Member
444,31110,20th St & Florida Ave NW,31203,14th & Rhode Island Ave NW,W22514,Casual
280,31008,12th & Army Navy Dr,31011,Crystal Dr & 23rd St S,W23279,Member
2079,31121,Calvert St & Woodley Pl NW,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W20643,Casual
370,31611,13th & H St NE,31616,3rd & H St NE,W21865,Member
428,31269,3rd St & Pennsylvania Ave SE,31626,15th St & Massachusetts Ave SE,W01081,Member
372,31246,M St & Pennsylvania Ave NW,31224,19th & L St NW,W21089,Member
710,31215,Georgetown Harbor / 30th St NW,31314,34th & Water St NW,W21595,Casual
1692,31401,14th St & Spring Rd NW,31292,22nd St & Constitution Ave NW,W00714,Casual
694,31505,Eckington Pl & Q St NE,31600,5th & K St NW,W23145,Member
1395,31028,N Veitch & Key Blvd,31243,4th & C St SW,W22418,Member
629,31291,Vermont Ave & I St NW,31261,21st St & Constitution Ave NW,W22087,Member
651,31505,Eckington Pl & Q St NE,31600,5th & K St NW,W01289,Casual
596,31291,Vermont Ave & I St NW,31261,21st St & Constitution Ave NW,W22412,Member
309,31631,8th & F St NE,31639,2nd & G St NE,W20930,Member
678,31244,4th & E St SW,31639,2nd & G St NE,W21798,Member
422,31103,16th & Harvard St NW,31201,15th & P St NW,W21304,Member
1192,31013,Eads & 22nd St S,31011,Crystal Dr & 23rd St S,W20123,Member
1127,31643,1st & D St SE,31623,Columbus Circle / Union Station,W22495,Member
539,31230,Metro Center / 12th & G St NW,31600,5th & K St NW,W22369,Member
546,31268,12th & U St NW,31200,Massachusetts Ave & Dupont Circle NW,W21679,Member
605,31207,Georgia Ave and Fairmont St NW,31114,18th St & Wyoming Ave NW,W20361,Member
2332,31202,14th & R St NW,31202,14th & R St NW,W23093,Member
2024,31308,39th & Veazey St NW,31228,8th & H St NW,W22079,Member
170,31241,Thomas Circle,31238,14th & G St NW,W22339,Member
1635,31261,21st St & Constitution Ave NW,31249,Jefferson Memorial,W22183,Member
2109,31644,12th St & Pennsylvania Ave SE,31644,12th St & Pennsylvania Ave SE,W22572,Member
1610,31261,21st St & Constitution Ave NW,31249,Jefferson Memorial,W20090,Member
589,31229,New Hampshire Ave & T St NW,31312,Wisconsin Ave & O St NW,W22931,Member
251,31113,Columbia Rd & Belmont St NW,31229,New Hampshire Ave & T St NW,W20399,Member
510,31212,21st & M St NW,31261,21st St & Constitution Ave NW,W20063,Member
505,31212,21st & M St NW,31261,21st St & Constitution Ave NW,W00800,Member
203,31920,Washington-Lee High School / N Stafford St & Generals Way,31034,N Randolph St & Fairfax Dr,W23476,Member
648,31077,Iwo Jima Memorial/N Meade & 14th St N,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,W20943,Member
558,31642,New Jersey Ave & L St NW,31519,1st & O St NW,W20819,Member
578,31077,Iwo Jima Memorial/N Meade & 14th St N,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,W22169,Member
198,31903,Royal & Wilkes St,31042,Market Square / King St & Royal St,W23293,Member
279,31285,22nd & P ST NW,31224,19th & L St NW,W20698,Member
222,31297,Virginia Ave & 25th St NW,31225,C & O Canal & Wisconsin Ave NW,W00436,Member
719,31295,Potomac & M St NW,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,W20027,Member
585,31615,6th & H St NE,31288,4th St & Madison Dr NW,W20764,Member
210,31201,15th & P St NW,31239,Rhode Island & Connecticut Ave NW,W00555,Member
1738,31632,15th & F St NE,31638,1st & H St NW,W23063,Member
834,31262,11th & F St NW,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,W20765,Casual
896,31508,Gallaudet / 8th St & Florida Ave NE,31266,11th & M St NW,W21856,Member
797,31229,New Hampshire Ave & T St NW,31286,11th & O St NW,W20746,Member
1430,31027,Key Blvd & N Quinn St,31110,20th St & Florida Ave NW,W20870,Member
881,31263,10th & K St NW,31271,Constitution Ave & 2nd St NW/DOL,W21081,Casual
765,31229,New Hampshire Ave & T St NW,31286,11th & O St NW,W21098,Member
752,31203,14th & Rhode Island Ave NW,31100,19th St & Pennsylvania Ave NW,W00200,Member
525,31508,Gallaudet / 8th St & Florida Ave NE,31520,24th & R St NE / National Arboretum,W20602,Member
104,31123,14th & Girard St NW,31124,14th & Irving St NW,W21814,Member
1437,31283,14th & L St NW,31275,New Hampshire Ave & 24th St NW,W21020,Member
233,31117,15th & Euclid St  NW,31107,Lamont & Mt Pleasant NW,W00112,Member
446,31278,18th & R St NW,31128,23rd & M St NW,W21253,Member
1400,31628,1st & K St SE,31503,Florida Ave & R St NW,W21006,Member
372,31121,Calvert St & Woodley Pl NW,31110,20th St & Florida Ave NW,W22968,Member
138,32025,Carroll & Westmoreland Ave,32026,Carroll & Ethan Allen Ave,W23117,Member
812,31102,11th & Kenyon St NW,31600,5th & K St NW,W20707,Member
410,31280,11th & S St NW,31267,17th St & Massachusetts Ave NW,W23045,Member
310,31269,3rd St & Pennsylvania Ave SE,31623,Columbus Circle / Union Station,W00646,Casual
811,31631,8th & F St NE,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,W21967,Casual
1122,31247,Jefferson Dr & 14th St SW,31295,Potomac & M St NW,W22003,Member
994,31250,20th & L St NW,31638,1st & H St NW,W23257,Member
328,31257,22nd & I St NW / Foggy Bottom,31237,25th St & Pennsylvania Ave NW,W22622,Member
552,31118,3rd & Elm St NW,31101,14th & V St NW,W23163,Member
329,31229,New Hampshire Ave & T St NW,31114,18th St & Wyoming Ave NW,W22593,Member
641,31101,14th & V St NW,31401,14th St & Spring Rd NW,W00097,Member
476,31251,12th & L St NW,31205,21st & I St NW,W00928,Member
1232,31113,Columbia Rd & Belmont St NW,31288,4th St & Madison Dr NW,W23584,Member
557,31201,15th & P St NW,31103,16th & Harvard St NW,W21304,Member
504,31615,6th & H St NE,31271,Constitution Ave & 2nd St NW/DOL,W01240,Member
812,31278,18th & R St NW,31270,8th & D St NW,W01011,Member
844,31208,M St & New Jersey Ave SE,31249,Jefferson Memorial,W21924,Member
402,31108,4th & M St SW,31209,1st & N St  SE,W20616,Member
474,31265,5th St & Massachusetts Ave NW,31263,10th & K St NW,W23105,Casual
469,31265,5th St & Massachusetts Ave NW,31263,10th & K St NW,W22067,Casual
557,31504,10th & Monroe St NE,31627,3rd & M St NE,W23411,Member
722,31217,USDA / 12th & C St SW,31265,5th St & Massachusetts Ave NW,W21282,Member
265,31619,Lincoln Park / 13th & East Capitol St NE ,31618,4th & East Capitol St NE,W23038,Member
419,31203,14th & Rhode Island Ave NW,31119,14th & Belmont St NW,W22514,Member
440,31616,3rd & H St NE,31611,13th & H St NE,W22701,Member
785,31500,4th & W St NE,31517,Union Market/6th St & Neal Pl NE,W20211,Member
773,31500,4th & W St NE,31517,Union Market/6th St & Neal Pl NE,W23089,Member
389,31102,11th & Kenyon St NW,31119,14th & Belmont St NW,W21129,Member
653,31204,20th & E St NW,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,W01187,Member
970,31511,12th & Irving St NE,31111,10th & U St NW,W00886,Member
2280,31204,20th & E St NW,31077,Iwo Jima Memorial/N Meade & 14th St N,W23383,Casual
2286,31204,20th & E St NW,31077,Iwo Jima Memorial/N Meade & 14th St N,W21682,Casual
756,31619,Lincoln Park / 13th & East Capitol St NE ,31270,8th & D St NW,W21249,Member
924,31247,Jefferson Dr & 14th St SW,31640,Maryland Ave & E St NE,W21780,Member
223,31000,Eads St & 15th St S,31013,Eads & 22nd St S,W21522,Member
472,31113,Columbia Rd & Belmont St NW,31280,11th & S St NW,W22120,Member
2506,31640,Maryland Ave & E St NE,31640,Maryland Ave & E St NE,W00245,Member
791,31262,11th & F St NW,31265,5th St & Massachusetts Ave NW,W21144,Member
929,31235,19th St & Constitution Ave NW,31229,New Hampshire Ave & T St NW,W00341,Casual
182,31042,Market Square / King St & Royal St,31903,Royal & Wilkes St,W23293,Member
788,31004,Aurora Hills Community Ctr/18th & Hayes St,31916,Potomac & Swann Ave,W23331,Member
705,31269,3rd St & Pennsylvania Ave SE,31624,North Capitol St & F St NW,W22291,Casual
391,31109,7th & T St NW,31228,8th & H St NW,W22508,Member
442,31117,15th & Euclid St  NW,31101,14th & V St NW,W22708,Member
1012,31286,11th & O St NW,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,W22737,Member
480,31214,17th & Corcoran St NW,31238,14th & G St NW,W00130,Member
1193,31117,15th & Euclid St  NW,31233,17th & K St NW / Farragut Square,W20121,Casual
1663,31249,Jefferson Memorial,31626,15th St & Massachusetts Ave SE,W22741,Member
933,31271,Constitution Ave & 2nd St NW/DOL,31235,19th St & Constitution Ave NW,W21081,Member
4265,31129,15th St & Pennsylvania Ave NW/Pershing Park,31129,15th St & Pennsylvania Ave NW/Pershing Park,W00176,Casual
263,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31607,13th & E St SE,W21950,Member
4214,31129,15th St & Pennsylvania Ave NW/Pershing Park,31129,15th St & Pennsylvania Ave NW/Pershing Park,W00614,Casual
647,31053,Columbia Pike & S Courthouse Rd,31060,S Arlington Mill Dr & Campbell Ave,W21110,Member
507,31123,14th & Girard St NW,31286,11th & O St NW,W22832,Member
725,31263,10th & K St NW,31200,Massachusetts Ave & Dupont Circle NW,W23105,Casual
