Duration,Start station number,Start station,End station number,End station,Bike Number,Member Type
1822,31212,21st & M St NW,31115,Columbia Rd & Georgia Ave NW,W00443,Member
695,31608,8th & Eye St SE / Barracks Row,31616,3rd & H St NE,W01351,Member
2336,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,31129,15th St & Pennsylvania Ave NW/Pershing Park,W00176,Casual
28373,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,31129,15th St & Pennsylvania Ave NW/Pershing Park,W21092,Casual
721,31286,11th & O St NW,31266,11th & M St NW,W23459,Casual
349,31234,20th & O St NW / Dupont South,31203,14th & Rhode Island Ave NW,W20985,Member
2241,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,31129,15th St & Pennsylvania Ave NW/Pershing Park,W00537,Casual
583,31280,11th & S St NW,31126,11th & Girard St NW,W00755,Member
226,31101,14th & V St NW,31229,New Hampshire Ave & T St NW,W21869,Member
401,31302,Wisconsin Ave & Newark St NW,31306,39th & Calvert St NW / Stoddert,W00595,Member
130,31266,11th & M St NW,31223,Convention Center / 7th & M St NW,W00167,Member
309,31201,15th & P St NW,31125,15th & W St NW,W23154,Member
376,31609,Maine Ave & 7th St SW,31628,1st & K St SE,W00258,Member
1185,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,31213,17th & K St NW,W20422,Casual
1132,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,31213,17th & K St NW,W21120,Casual
351,31268,12th & U St NW,31229,New Hampshire Ave & T St NW,W20610,Member
853,31246,M St & Pennsylvania Ave NW,31600,5th & K St NW,W21673,Member
592,31611,13th & H St NE,31601,19th & East Capitol St SE,W00040,Casual
348,31119,14th & Belmont St NW,31602,Park Rd & Holmead Pl NW,W01375,Member
371,31101,14th & V St NW,31200,Massachusetts Ave & Dupont Circle NW,W01400,Casual
1023,31214,17th & Corcoran St NW,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,W21044,Member
1367,31231,14th & D St NW / Ronald Reagan Building,31606,Potomac & Pennsylvania Ave SE,W00146,Casual
2149,31296,Columbia & Ontario Rd NW,31505,Eckington Pl & Q St NE,W23145,Casual
1454,31296,Columbia & Ontario Rd NW,31272,Washington & Independence Ave SW/HHS,W20183,Casual
479,31622,13th & D St NE,31626,15th St & Massachusetts Ave SE,W20854,Casual
15814,31223,Convention Center / 7th & M St NW,31600,5th & K St NW,W00167,Member
388,31280,11th & S St NW,31230,Metro Center / 12th & G St NW,W20624,Member
297,31109,7th & T St NW,31506,1st & Rhode Island Ave NW,W21076,Member
1516,31200,Massachusetts Ave & Dupont Circle NW,31302,Wisconsin Ave & Newark St NW,W22079,Member
1121,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,31214,17th & Corcoran St NW,W21721,Member
75,31291,Vermont Ave & I St NW,31276,15th & L St NW,W00199,Member
968,31250,20th & L St NW,31204,20th & E St NW,W01187,Casual
304,31107,Lamont & Mt Pleasant NW,31401,14th St & Spring Rd NW,W21829,Member
289,31281,8th & O St NW,31281,8th & O St NW,W22280,Member
257,31296,Columbia & Ontario Rd NW,31200,Massachusetts Ave & Dupont Circle NW,W00684,Member
427,31104,Adams Mill & Columbia Rd NW,31267,17th St & Massachusetts Ave NW,W21993,Member
1458,31507,1st & Washington Hospital Center NW,31249,Jefferson Memorial,W23279,Member
578,31254,15th & K St NW,31229,New Hampshire Ave & T St NW,W21098,Member
522,31285,22nd & P ST NW,31280,11th & S St NW,W00130,Member
695,31306,39th & Calvert St NW / Stoddert,31255,24th & N St NW,W00400,Member
594,31035,N Quincy St & Glebe Rd,31050,Barton St & 10th St N,W22365,Casual
737,31050,Barton St & 10th St N,31236,37th & O St NW / Georgetown University,W22899,Member
288,31102,11th & Kenyon St NW,31120,10th & Florida Ave NW,W22646,Member
138,31276,15th & L St NW,31291,Vermont Ave & I St NW,W00199,Member
1155,31249,Jefferson Memorial,31008,12th & Army Navy Dr,W23279,Member
